state,county,Assessor / Appraser,Treasurer / Tax / Tax collector,Mapping / Gis,Recorder / County clerk,Board of taxation,"Register of Deeds / Historic Aerials
",N,RA,AP,TX,R,example,,Appraser Property info,Appraser Example,Parcel Map,Tax (Treasurer),,Parcel datasets,Something,,Records,Death Certificates
az_,pinal,https://www.pinalcountyaz.gov/Assessor/Pages/home.aspx,https://treasurer.pinal.gov/parcelinquiry,https://pinal.maps.arcgis.com/apps/webappviewer/index.html?id=d92bad11160e425ca191f048ef6ca556,https://acclaim.pinalcountyaz.gov/AcclaimWeb/,,,11,RA,,,,,,https://app1.pinal.gov/Search/Parcel-Details.aspx?parcel_ID=40215037Q,,,,,,,,,
az_,santacruz,http://gis.santacruzcountyaz.gov/asr/index.html,https://parcelsearch.santacruzcountyaz.gov/santacruzwebpay/propertyinformation,https://experience.arcgis.com/experience/ffed7d806f7a47239824b6412748c7f3,https://www.thecountyrecorder.com/Introduction.aspx?CountyKey=8,,,12,,,,,,,,,,,,,,,,
az_,mohave,https://www.mohave.gov/ContentPage.aspx?id=111&cid=1595,https://eagletw.mohavecounty.us/treasurer/web/,https://mcgis.mohave.gov/html5/?viewer=moh,https://eaglerss.mohave.gov/web/user/disclaimer,,,13,RA,,,,,,,,,https://eagletw.mohavecounty.us/treasurer/treasurerweb/searchResults.jsp?searchId=1,,,,,,https://eaglerss.mohave.gov/web/search/DOCSEARCH3055S1
az_,yavapai,https://gis.yavapaiaz.gov/v4/map.aspx,https://taxinquiry.yavapaiaz.gov/,https://yavapaiaz.gov/gis/gis-mapping-applications,https://yavapaiaz.gov/recorder/search-recorded-documents,,,14,RA,,,,,,,,https://gis.yavapaiaz.gov/v4/map.aspx,https://taxinquiry.yavapaiaz.gov/,,,,,,
az_,yuma,https://yumacountyaz-assessor.tylerhost.net/assessor/web/,https://yumacountyaz-treasurer.tylerhost.net/treasurer/web/,https://www.yumacountyaz.gov/government/information-technology-services/geographic-information-systems,https://yumacountyaz-recorder.tylerhost.net/recorder/web/,,,15,,,,,,,,,,,,,,,,
fl_,alachua,https://qpublic.schneidercorp.com/Application.aspx?AppID=1081&LayerID=26490&PageTypeID=2&PageID=10768,https://alachua.county-taxes.com/public/search/property_tax,https://map.netronline.com/florida-alachua/12001,https://www.alachuacounty.us/depts/clerk/publicrecords/pages/officialrecords.aspx,,,16,,QP,PT,,,,,,,,,,,,,
fl_,baker,http://www.bakerpa.com/search.html,https://www.bakertaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True,https://map.netronline.com/florida-baker/12003,https://bakerclerk.com/landmarkweb,,,17,,,,,,,,,,,,,,,,
fl_,bay,https://qpublic.schneidercorp.com/application.aspx?app=BayCountyFL&PageType=Search,https://bay.county-taxes.com/public/search/property_tax,https://gis.baycountyfl.gov/bayview/,http://records2.baycoclerk.com/Recording/,,,18,,QP,PT,,,,,,,,,,,,,
fl_,bradford,http://www.bradfordappraiser.com/gis/,https://www.bradfordtaxcollector.com/Property/SearchSelect?ClearData=True,http://www.bradfordappraiser.com/GIS/Search_F.asp?GIS,https://www3.myfloridacounty.com/ori/index.do,,,19,,GIS,,MF,,,,https://www.bradfordappraiser.com/gis/?pin=01680000000,,,,,,,,
fl_,brevard,https://www.bcpao.us/PropertySearch/#/nav/Search,https://brevard.county-taxes.com/public,https://www.bcpao.us/map/,https://vaclmweb1.brevardclerk.us/AcclaimWeb/,,,20,,,PT,,,,,,,,,,,,,
fl_,broward,https://web.bcpa.net/BcpaClient/#/Record-Search,https://broward.county-taxes.com/public/search/property_tax,https://map.netronline.com/florida-broward/12011,https://officialrecords.broward.org/AcclaimWeb/,,,21,,,PT,,,,,,,,,,,,,
fl_,calhoun,https://beacon.schneidercorp.com/Application.aspx?AppID=829&LayerID=15004&PageTypeID=2&PageID=6748,https://www.calhouncountytaxcollector.com/Property/SearchSelect,,https://www3.myfloridacounty.com/ori/index.do,,,22,,,,MF,,,,,,,,,,,,
fl_,charlotte,https://www.ccappraiser.com/RPSearchEnter.asp?,https://charlotte.county-taxes.com/public/search/property_tax,https://agis.charlottecountyfl.gov/ccgis/,https://recording.charlotteclerk.com/,,,23,,,PT,,,,,,,,,,,,,
fl_,citrus,https://www.citruspa.org/_web/search/commonsearch.aspx?mode=realprop,https://citrus.county-taxes.com/public,https://gis.citrusbocc.com/,https://search.citrusclerk.org/LandmarkWeb/home/index,,,24,,,PT,,,,,,,,,,,,,
fl_,clay,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=2&PageID=6754,https://clay.county-taxes.com/public/search/property_tax,https://qpublic.schneidercorp.com/Application.aspx?AppID=830&LayerID=15008&PageTypeID=1&PageID=6753,http://landmark.clayclerk.com/LandmarkWeb/home/index,,,25,,QP,PT,,,,,,,,,,,,,
fl_,collier,https://www.collierappraiser.com/,https://collier.county-taxes.com/public/search/property_tax?action_location=Landing+Page,http://www.collierappraiser.com/index.html?page=disclaimermaps.html,https://collierclerk.com/records-search/search-official-records/,,,26,,,PT,,,,,,,,,,,,,
fl_,columbia,http://columbia.floridapa.com/gis/,http://fl-columbia-taxcollector.governmax.com/collectmax/collect30.asp?,http://columbia.floridapa.com/gis/,https://www.myfloridacounty.com/ori/index.do,,,27,RA,GIS,GM,MF,R00010-001,,,https://columbia.floridapa.com/gis/?pin=142S1500061000,https://columbia.floridapa.com/gis/,https://fl-columbia-taxcollector.governmax.com/collectmax/collect30.asp?,https://columbia.floridapa.com/GIS/TaxLink_wait.asp?R12074-000,,,,,
fl_,desoto,http://www.desotopa.com/,https://www.desotocountytaxcollector.com/Property/SearchSelect?ClearData=True,,http://www.desotoclerk.com/Recording.htm,,,28,,,,,,,,,,,,,,,,
fl_,dixie,https://qpublic.schneidercorp.com/Application.aspx?AppID=867&LayerID=16385&PageTypeID=2&PageID=7230,http://fl-dixie-taxcollector.governmax.com/collectmax/collect30.asp,https://map.netronline.com/florida-dixie/12029,https://www.myfloridacounty.com/ori/index.do,,,29,RA,QP,GM,MF,010813-00003634-1100,,https://qpublic.schneidercorp.com/Application.aspx?AppID=867&LayerID=16385&PageTypeID=2&PageID=7230,,,https://fl-dixie-taxcollector.governmax.com/collectmax/collect30.asp,,,https://qpublic.schneidercorp.com/Application.aspx?AppID=867&LayerID=16385&PageTypeID=2&PageID=7230,https://qpublic.schneidercorp.com/Application.aspx?AppID=867&LayerID=16385&PageTypeID=4&PageID=7232&Q=1806901892&KeyValue=35-08-13-0000-3900-0200,,
fl_,duval,https://paopropertysearch.coj.net/Basic/Search.aspx,https://duval.county-taxes.com/public/search/property_tax?action_location=Header,https://map.netronline.com/florida-duval/12031,https://or.duvalclerk.com/,,,30,,,PT,,,,,,,,,,,,,
fl_,escambia,https://www.escpa.org//cama/Search.aspx,https://escambia.county-taxes.com/public,http://myescambia.com/government/departments/ds/gis,https://dory.escambiaclerk.com/LandmarkWeb1.4.6.134,,,31,,,PT,,,,,,,,,,,,,
fl_,flagler,https://qpublic.schneidercorp.com/Application.aspx?AppID=598&LayerID=9801&PageTypeID=2&PageID=4328,https://flaglertax.com/,https://map.netronline.com/florida-flagler/12035,https://apps.flaglerclerk.com/Landmark/,,,32,,QP,,,,,,,,,,,,,,
fl_,franklin,https://beacon.schneidercorp.com/Application.aspx?AppID=816&LayerID=14540&PageTypeID=2&PageID=6405,https://www.franklincountytaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True,https://map.netronline.com/florida-franklin/12037,https://www3.myfloridacounty.com/ori/index.do,,,33,,QP,,MF,,,,,,,,,,,,
fl_,gadsden,https://qpublic.schneidercorp.com/Application.aspx?App=GadsdenCountyFL&PageType=Search,http://fl-gadsden-taxcollector.governmax.com/collectmax/collect30.asp,https://map.netronline.com/florida-gadsden/12039,http://www.gadsdenclerk.com/PublicInquiry,,,34,RA,QP,GM,,1324N4W0000003220300,,https://beacon.schneidercorp.com/Application.aspx?AppID=814&LayerID=14537&PageTypeID=4&PageID=6817&Q=2067269998&KeyValue=1%2D32%2D4N%2D4W%2D0000%2D00322%2D0300,,,https://fl-gadsden-taxcollector.governmax.com/collectmax/collect30.asp,,,,,https://www.gadsdenclerk.com/PublicInquiry/Instrument.aspx?InstrumentID=2678416,
fl_,gilchrist,https://qpublic.schneidercorp.com/Application.aspx?App=GilchristCountyFL&Layer=Parcels&PageType=Search,https://fl-gilchrist-taxcollector.publicaccessnow.com/SearchTaxRoll/RealEstateTaxes.aspx,https://map.netronline.com/florida-gilchrist/12041,https://www3.myfloridacounty.com/ori/index.do,,,35,RA,QP,,MF,,https://www3.myfloridacounty.com/ori/index.do,https://qpublic.schneidercorp.com/Application.aspx?App=GilchristCountyFL&Layer=Parcels&PageType=Search,,,https://fl-gilchrist-taxcollector.publicaccessnow.com/SearchTaxRoll/RealEstateTaxes.aspx,Нету,,,,,
fl_,glades,https://www.qpublic.net/fl/glades/search.html,https://www.mygladescountytaxcollector.com/Property/SearchSelect?ClearData=True,http://qpublic6.qpublic.net/qpmap4/map.php?county=fl_glades&layers=parcels+parcel_sales+aerials+roads&mapmode,https://www3.myfloridacounty.com/ori/index.do,,,36,,QP,,MF,,,,,,,,,,,,
fl_,gulf,https://beacon.schneidercorp.com/Application.aspx?AppID=819&LayerID=15077&PageTypeID=2&PageID=6812,https://www.gulfcountytaxcollector.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-gulf/12045,https://www3.myfloridacounty.com/ori/index.do,,,37,,QP,,MF,,,,,,,,,,,,
fl_,hamilton,https://beacon.schneidercorp.com/Application.aspx?AppID=817&LayerID=14544&PageTypeID=2&PageID=6409,https://www.hamiltoncountytaxcollector.com/Property/SearchSelect,https://map.netronline.com/florida-hamilton/12047,https://hamiltonclerk.com/official-record-search/,,,38,,QP,,,,,,,,,,,,,,
fl_,hardee,https://qpublic.schneidercorp.com/Application.aspx?App=HardeeCountyFL&PageType=Search,https://www.hardeecountytaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True,https://map.netronline.com/florida-hardee/12049,https://www3.myfloridacounty.com/ori/index.do,,,39,,QP,,MF,,,,,,,,,,,,
fl_,hendry,https://beacon.schneidercorp.com/Application.aspx?AppID=1105&LayerID=27399&PageTypeID=2&PageID=11144,https://property.hendry.tax/ptaxweb/,,https://www.hendryclerk.org/official-records/,,,40,,QP,,,,,,,,,,,,,,
fl_,hernando,https://propsearch.hernandopa-fl.us/,https://hernando.county-taxes.com/public/search/property_tax,https://map.netronline.com/florida-hernando/12053,https://or.hernandoclerk.com/LandmarkWeb/,,,41,,,PT,,,,,,,,,,,,,
fl_,highlands,https://www.hcpao.org/Search,https://highlands.payfltaxes.com/lookup/property-tax,https://map.netronline.com/florida-highlands/12055,http://acclaim.hcclerk.org/,,,42,,,,,,,,,,,,,,,,
fl_,hillsbrough,https://gis.hcpafl.org/PropertySearch/#/parcel/basic/,https://hillsborough.county-taxes.com/public,http://gis.hcpafl.org/gissearch/,https://pubrec6.hillsclerk.com/ORIPublicAccess/customSearch.html,,,43,,,PT,,,,,,,,,,,,,
fl_,holmes,https://qpublic.schneidercorp.com/Application.aspx?App=HolmesCountyFL&Layer=Parcels&PageType=Search,https://www.holmestax.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-holmes/12059,https://www3.myfloridacounty.com/ori/index.do,,,44,,QP,,MF,,,,,,,,,,,,
fl_,indianriver,https://qpublic.schneidercorp.com/Application.aspx?App=IndianRiverCountyFL&PageType=Search,https://indianriver.county-taxes.com/public,,https://ori.indian-river.org/,,,45,,QP,PT,,,,,,,,,,,,,
fl_,jackson,https://www.qpublic.net/fl/jackson/search.html,https://www.jacksoncountytaxcollector.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-jackson/12063,https://www.jacksonclerk.com/search-official-records/,,,46,,QP,,,,,,,,,,,,,,
fl_,jefferson,https://qpublic.schneidercorp.com/Application.aspx?App=JeffersonCountyFL&PageType=Search,https://www.jeffersoncountytaxcollector.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-jefferson/12065,https://www3.myfloridacounty.com/ori/index.do,,,47,,QP,,MF,,,,,,,,,,,,
fl_,lafayette,http://www.lafayettepa.com/GIS/Search_F.asp,http://www.lafayettetc.com/,,https://www3.myfloridacounty.com/ori/index.do,,,48,RA,GIS,,MF,,https://www3.myfloridacounty.com/ori/index.do,,https://www.lafayettepa.com/gis/?pin=0507140000000000200,https://www.lafayettepa.com/gis/,,https://lafayette.payfltaxes.com/property-tax/bill/01-03-10-0000-0000-00104?,,,,,
fl_,lake,https://www.lakecopropappr.com/property-disclaimer.aspx?to=%2fproperty-search.aspx,https://lake.county-taxes.com/public/search/property_tax,https://gis.lakecountyfl.gov/gisweb/,https://officialrecords.lakecountyclerk.org/,,,49,,,PT,OR,,,,,,,,,,,,
fl_,lee,https://www.leepa.org/,https://lee.county-taxes.com/public/search/property_tax,http://gissvr.leepa.org/GeoView2/,https://or.leeclerk.org/LandMarkWeb/,,,50,,,PT,,,,,,,,,,,,,
fl_,leon,https://www.leonpa.gov/,https://www.leontaxcollector.net/Services/Property-Taxes,https://map.netronline.com/florida-leon/12073,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/index.asp,,,51,,,,,,,,,,,,,,,,
fl_,levy,https://www.qpublic.net/fl/levy/search.html,https://levyitm.wfbsusa.com/DisclaimerPage.aspx?mode=prop,https://map.netronline.com/florida-levy/12075,https://levyclerk.com/public-records/,,,52,,QP,,,,,,,,,,,,,,
fl_,liberty,https://qpublic.schneidercorp.com/Application.aspx?App=LibertyCountyFL&Layer=Parcels&PageType=Search,https://www.libertycountytaxcollector.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-liberty/12077,https://www3.myfloridacounty.com/ori/index.do,,,53,,QP,,MF,,,,,,,,,,,,
fl_,madison,https://qpublic.schneidercorp.com/Application.aspx?App=MadisonCountyFL&Layer=Parcels&PageType=Search,https://www.madisoncountytaxcollector.com/Property/SearchSelect?ClearData=True,https://map.netronline.com/florida-madison/12079,https://www3.myfloridacounty.com/ori/index.do,,,54,,QP,,MF,,,,,,,,,,,,
fl_,manatee,https://www.manateepao.gov/,https://secure.taxcollector.com/ptaxweb/,https://www.mymanatee.org/gisportal/apps/webappviewer/index.html?id=aed1bbeeb73a4657a8ce925d5c1ed18c,https://records.manateeclerk.com/OfficialRecords/Search,,,55,,,,,,,,,,,,,,,,
fl_,marion,https://www.pa.marion.fl.us/SearchAgree.aspx,https://www.mariontax.com/itm.asp,https://data-marioncountyfl.opendata.arcgis.com/,https://nvweb.marioncountyclerk.org/searchng_SSL/,,,56,,,,,,,,,,,,,,,,
fl_,martin,https://pa.martin.fl.us/,https://martin.county-taxes.com/public,http://geoweb.martin.fl.us/general/?,http://or.martinclerk.com/disclaim.asp,,,57,,,PT,,,,,,,,,,,,,
fl_,miamidade,https://www.miamidade.gov/Apps/PA/propertysearch/#/,https://miamidade.county-taxes.com/public/search/property_tax,https://www.miamidade.gov/global/service.page?Mduid_service=ser1495571905689513,https://onlineservices.miamidadeclerk.gov/officialrecords/,,,58,,,PT,,,,,,,,,,,,,
fl_,monroe,https://qpublic.schneidercorp.com/Application.aspx?AppID=605&LayerID=9946&PageTypeID=2&PageID=4381,https://monroe.county-taxes.com/public,https://map.netronline.com/florida-monroe/12087,https://or.monroe-clerk.com/LandmarkWeb/Home/Index,,,59,,QP,PT,,,,,,,,,,,,,
fl_,nassau,https://maps.nassauflpa.com/NassauSearch/IS_SearchResults2015/ShowIS_NewSearchResults2015Table.aspx,https://nassau.county-taxes.com/public,https://maps.nassauflpa.com/portal/apps/sites/#/data,https://www.myfloridacounty.com/orisearch/45,,,60,,,PT,MF,,,,,,,,,,,,
fl_,okaloosa,https://qpublic.schneidercorp.com/application.aspx?app=OkaloosaCountyFL&PageType=Search,https://okaloosa.county-taxes.com/public,https://okaloosapa.com/gis-mapping/,https://okaloosacountyfl-kiosk.tylerhost.net/web/,,,61,,QP,PT,,,,,,,,,,,,,
fl_,okeechobee,http://www.okeechobeepa.com/gis/,https://okeechobeecountytaxcollector.com/Property/SearchSelect,,https://pioneer.okeechobeelandmark.com/LandmarkWebLive,,,62,,GIS,,,,,,https://www.okeechobeepa.com/gis/?pin=11536350040000400200,,,,,,,,
fl_,orange,https://ocpaweb.ocpafl.org/parcelsearch,https://www.octaxcol.com/taxes/about-property-tax/pay-my-taxes/,http://www.orangecountyfl.net/PlanningDevelopment/InteractiveMapping.aspx#.V8sJSZgrKM9,https://selfservice.or.occompt.com/ssweb/search/DOCSEARCH2950S1,,,63,RA,,,,,,https://ocpaweb.ocpafl.org/parcelsearch,,https://ocpaweb.ocpafl.org/tangiblecard/REG017988,https://www.octaxcol.com/taxes/about-property-tax/pay-my-taxes/,,,,,https://selfservice.or.occompt.com/ssweb/search/DOCSEARCH2950S1,
fl_,osceola,https://ira.property-appraiser.org/PropertySearch/,https://osceola.county-taxes.com/public/search/property_tax?action_location=Landing+Page,https://ira.property-appraiser.org/gis/,https://officialrecords.osceolaclerk.org/browserview/,,,64,,,PT,OR,,,,,,,,,,,,
fl_,palmbeach,https://www.pbcgov.org/PAPA/index.htm,https://pbctax.manatron.com/Tabs/PropertyTax.aspx,https://maps.co.palm-beach.fl.us/cwgis/papa.html,https://www.mypalmbeachclerk.com/records/official-records,,,65,RA,,,,,,,,login need,https://pbctax.publicaccessnow.com/PropertyTax/Account.aspx?p=00-35-43-18-00-000-7060&a=2902175,,https://pbcpao.gov/departments/public_services.htm,,,,
fl_,pasco,https://search.pascopa.com/,https://pasco.county-taxes.com/public,https://map.netronline.com/florida-pasco/12101,https://www.pascoclerk.com/232/Search-Official-Records,,,66,,,PT,,,,,,,,,,,,,
fl_,pinellas,https://www.pcpao.gov/,https://pinellas.county-taxes.com/public/search/property_tax,https://www.pcpao.org/PaoTpv/,https://officialrecords.mypinellasclerk.org/,,,67,,,PT,OR,,,,,,,,,,,,
fl_,polk,https://www.polkpa.org/CamaDisplay.aspx?OutputMode=Input&searchType=RealEstate&page=FindByAddress&cookie_test=true,https://www4.polktaxes.com/services/search-and-pay-property-taxes/,https://www.polkpa.org/MapSearch.aspx,https://apps.polkcountyclerk.net/browserviewor/,,,68,RA,,,,,,https://www.polkpa.org/CamaDisplay.aspx?OutputMode=Display&SearchType=RealEstate&ParcelID=222602000000013090,,https://map.polkpa.org/?parcelid=222602000000013090,https://polk-eps.mygovonline.com/api/v2/due/PPT/${parcell}?detail_level=public,https://polk.payfltaxes.com/property-tax/bill/222602-000000-013180,https://www.polkpa.org/downloads/datafiles.aspx,,,,
fl_,putnam,https://apps.putnam-fl.com/pa/property/,https://www.putnamtax.com/,https://map.netronline.com/florida-putnam/12107,https://apps.putnam-fl.com/peas/peasApplications/or_viewer/publicORIRedact.php,,,69,RA,,,,,,https://apps.putnam-fl.com/pa/property/,,,,,,,,https://apps.putnam-fl.com/peas/peasApplications/Putdeeds/main.php?action=Deeds.searchDeeds&step=search,
fl_,santarosa,https://www.srcpa.gov/Search/,https://santarosa.county-taxes.com/public,https://santarosa.roktech.net/ags/gomaps4.0/index.html,https://acclaim.srccol.com/AcclaimWeb/,,,70,,,PT,,,,,,,,,,,,,
fl_,sarasota,https://www.sc-pa.com//propertysearch,https://www.sarasotataxcollector.com/,https://ags3.scgov.net/scpa/,https://secure.sarasotaclerk.com/OfficialRecords.aspx,,,71,RA,,,,`0002141099,,https://qpublic.schneidercorp.com/Application.aspx?App=GadsdenCountyFL&PageType=Search,,https://ags3.scgov.net/scpa/,https://sarasotataxcollector.governmax.com/collectmax/collect30.asp,,https://www.sc-pa.com/downloads/download-data/,https://sarasotataxcollector.governmax.com/collectmax/search_collect.asp?l_nm=occlic_bus_name&site=occlic_search&formelement=0&sid=A84B773B16B943B8BEF505D1C160FD5C,,https://secure.sarasotaclerk.com/OfficialRecords.aspx,
fl_,seminole,https://www.scpafl.org/,https://seminolecounty.tax/services/tax-search,http://seminolegis.maps.arcgis.com/apps/webappviewer/index.html?id=668252d321334112be7534024b972bc6,https://recording.seminoleclerk.org/DuProcessWebInquiry,,,72,,,,,,,,,,,,,,,,
fl_,stjohns,https://qpublic.schneidercorp.com/Application.aspx?App=StJohnsCountyFL&Layer=Parcels&PageType=Search,https://www.stjohnstax.us/AccountSearch?s=pt,https://qpublic.schneidercorp.com/Application.aspx?AppID=960&LayerID=21179&PageTypeID=1,https://apps.stjohnsclerk.com/Landmark,,,73,,QP,,,,,,,,,,,,,,
fl_,stlucie,https://www.paslc.gov/,https://stlucie.county-taxes.com/tcb/app/re/accounts,https://map.netronline.com/florida-st_lucie/12111,https://acclaimweb.stlucieclerk.com/AcclaimWeb/Home/Index,,,74,,,PT,,,,,,,,,,,,,
fl_,sumter,https://www.sumterpa.com/record-search/,https://sumter.county-taxes.com/public/search/property_tax,https://app.sumterpa.com/SCPA-GIS/index.html,https://www3.myfloridacounty.com/ori/index.do,,,75,,,PT,MF,,,,,,,,,,,,
fl_,suwannee,http://www.suwanneepa.com/gis/,https://suwannee.floridatax.us/AccountSearch?s=pt,,http://records.suwgov.org/LandmarkWeb/Home/index,,,76,RA,GIS,,,`00035000000,,https://www.suwanneepa.com/gis/,https://www.suwanneepa.com/gis/?pin=0403S11E11334000000,,https://suwannee.floridatax.us/PropertyDetail?p=00035000000&y=2023&b=19.0000,https://www.suwanneepa.com/gis/linkTax/?PIN=00035000000&random=21158.88,,,,http://records.suwgov.org/LandmarkWeb/search/index?theme=.blue&section=searchCriteriaParcelId&quickSearchSelection=,
fl_,taylor,https://qpublic.net/fl/taylor/,https://www.taylorcountytaxcollector.com/,https://map.netronline.com/florida-taylor/12123,http://67.158.150.97/PublicInquiry/Search.aspx?Type=Name,,,77,RA,QP,,,,,https://qpublic.schneidercorp.com/Application.aspx?AppID=792&LayerID=11749&PageTypeID=4&PageID=5270&Q=182380348&KeyValue=06259-050,,,https://taylor.floridatax.us/PropertyDetail?p=R06259-050&y=2023&b=9176.0000,,,,,http://67.158.150.97/PublicInquiry/Search.aspx?Type=Name,
fl_,union,http://union.floridapa.com/gis/,https://www.unioncountytc.com/Property/SearchSelect?ClearData=True,,https://unionclerk.com/search-official-records/,,,78,,GIS,,,,,,https://union.floridapa.com/gis/?pin=1805210000005700,,,,,,,,
fl_,volusia,https://vcpa.vcgov.org/searches.html,https://volusia.county-taxes.com/tcb/app/main/home,https://imapt.vcgov.org/Html5Viewer/index.html?viewer=Volusia_County_BaseMap.Kiosk,https://app02.clerk.org/or_m/,,,79,,,PT,,,,,,,,,,,,,
fl_,wakulla,https://beacon.schneidercorp.com/Application.aspx?AppID=836&LayerID=15205&PageTypeID=2&PageID=6831,https://www.wakullacountytaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True,https://map.netronline.com/florida-wakulla/12129,http://www.wakullaclerk.com/Landmarkweb/Home/Index,,,80,,QP,,,,,,,,,,,,,,
fl_,walton,https://beacon.schneidercorp.com/Application.aspx?AppID=835&LayerID=15172&PageTypeID=2&PageID=6827,https://walton.county-taxes.com/public/search/property_tax,https://www.co.walton.fl.us/1096/County-Maps,https://waltonclerk.com/recordsearch,,,81,,QP,PT,,,,,,,,,,,,,
fl_,washington,https://qpublic.schneidercorp.com/Application.aspx?App=WashingtonCountyFL&PageType=Search,https://www.washingtoncountytaxcollector.com/property/searchselect?cleardata=True,https://map.netronline.com/florida-washington/12133,https://www3.myfloridacounty.com/ori/index.do,,,82,,QP,,MF,,,,,,,,,,,,
new jersey ,atlantic,https://publicrecords.netronline.com/directory/nj_numbers_atlantic,https://publicrecords.netronline.com/directory/nj_numbers_atlantic,http://www.aclink.org/GIS/,http://atlantic.newvisionsystems.com/ClerkSearch/,,,,,,,,,,,,,,,,,,,
,bergen,https://publicrecords.netronline.com/directory/nj_numbers_bergen,https://publicrecords.netronline.com/directory/nj_numbers_bergen,https://bchapeweb.co.bergen.nj.us/parcelviewer/,https://bclrs.co.bergen.nj.us/landrecords/,http://www.njactb.org/,https://www.historicaerials.com/,,,,,,,,,,,https://www.zillow.com/research/data/,,,,,,
